text,score,CHARACTER_COMBINATION,CHARACTER_COMBINATION_score,CHARACTER_MASKING,CHARACTER_MASKING_score,CHARACTER_SPLITTING,CHARACTER_SPLITTING_score,CHARACTER_SUBSTITUTION,CHARACTER_SUBSTITUTION_score,CHARACTER_SWAPPING,CHARACTER_SWAPPING_score,WORD_ABBREVIATION,WORD_ABBREVIATION_score,WORD_HOMOPHONE_SUB,WORD_HOMOPHONE_SUB_score,WORD_LANG_SWITCH,WORD_LANG_SWITCH_score,WORD_NOISE,WORD_NOISE_score,WORD_SPLITTING,WORD_SPLITTING_score
"Suck my cock, please",0.95048624,"Sud my cod, please",0.28857216,"Suck my c*ck, please",0.9563754,"Suc1< rriy coc1<, please",0.36095104,"Sμ(l< nny (ο(l<, ρ1eαse",0.28674445,"Suck my cokc, please",0.9563754,"Suck my c, please",0.85850734,"Suck my coke, please",0.8364697,"Suck my polla, please",0.95048624,"Suck my c,oc,k, please",0.944597,"Suck my c ock, please",0.96069145
"Please, I will, keep sucking my cock",0.9391453,"Please, I will, keep suding my cod",0.36867723,"Please, I will, keep s*cking my c*ck",0.9288007,"Please, I vvill, 1<eep suc1<irig rriy coc1<",0.36095104,"P1eαse, I ω111, l<eeρ sμ(l<1ηg nny (ο(l<",0.19409354,"Please, I will, keep sukcing my cokc",0.9288007,"Please, I will, keep sing my c",0.05354243,"Please, I will, keep sucking my coke",0.73663366,"Please, I will, keep sucking my polla",0.9391453,"Please, I will, keep su,,cking my c,oc,k",0.8696708,"Please, I will, keep su cking my c ock",0.91625386
Ramming my cunt with this candle like a sex freak,0.93383175,Ramming my cunt with tHs candle like a sex freak,0.9288007,Ramming my cu*t with this candle like a sex freak,0.8540474,Rarrirriirig rriy curit vvith this cariclle li1<e a sex frea1<,0.4274071,Rαnnnn1ηg nny (μητ ω1τh τh1s (αηcl1e 11l<e α seχ freαl<,0.21107252,Ramming my cunt with this candle like a sxe freak,0.9209984,Ramming my cunt with this candle like a s freak,0.911035,Ramming my count with this candle like a seks freak,0.6407703,Ramming my coño with this candle like a sex freak,0.911035,"Ramming my c,,,unt with this candle like a s,,e,x freak",0.8403191,Ramming my cu nt with this candle like a s ex freak,0.8252207
I want you to fuck my mouth thrusting your hard cock down my throat and making my pussy sloppy wet while you fuck me with my wand and the fun extension.,0.9209984,I want you to fud my mouth thrusting your hard cod down my throat and making my pussy sloppy wet wHle you fud me with my wand and the fun extension.,0.8540474,I want you to f**k my mouth thrusting your hard c*ck down my throat and making my pu**y sloppy wet while you f**k me with my wand and the fun extension.,0.9209984,I vvarit you to fuc1< rriy rriouth thrustirig your harcl coc1< clovvri rriy throat aricl rria1<irig rriy pussy sloppy vvet vvhile you fuc1< rrie vvith rriy vvaricl aricl the furi exterisiori.,0.7856813,I ωαητ yομ το fμ(l< nny nnομτh τhrμsτ1ηg yομr hαrcl (ο(l< clοωη nny τhrοατ αηcl nnαl<1ηg nny ρμssy s1ορρy ωeτ ωh11e yομ fμ(l< nne ω1τh nny ωαηcl αηcl τhe fμη eχτeηs1οη.,0.6852916,I want you to fukc my mouth thrusting your hard cokc down my throat and making my psusy sloppy wet while you fukc me with my wand and the fun extension.,0.91625386,I want you to f my mouth thrusting your hard c down my throat and making my p sloppy wet while you f me with my wand and the fun extension.,0.7701451,I want you to fack my mouth thrusting your hard coke down my throat and making my pusy sloppy wet while you fack me with my wand and the fun extension.,0.88599813,I want you to mierda my mouth thrusting your hard polla down my throat and making my coño sloppy wet while you mierda me with my wand and the fun extension.,0.8778702,"I want you to fuc,k my mouth thrusting your hard c,oc,k down my throat and making my p,uss,,y sloppy wet while you fuc,k me with my wand and the fun extension.",0.9209984,I want you to fu ck my mouth thrusting your hard c ock down my throat and making my puss y sloppy wet while you fu ck me with my wand and the fun extension.,0.91625386
I think your ass is jealous of your pussy.,0.9209984,I tHnk your ass is jealous of your pussy.,0.91625386,I think your a*s is jealous of your pu**y.,0.8988238,I thiri1< your ass is jealous of your pussy.,0.9029226,I τh1ηl< yομr αss 1s jeα1ομs οf yομr ρμssy.,0.7675452,I think your sas is jealous of your psusy.,0.8115627,I think your a is jealous of your p.,0.147767,I think your ase is jealous of your pusy.,0.8778702,I think your culo is jealous of your coño.,0.88599813,"I think your a,ss is jealous of your p,uss,,y.",0.90451443,I think your as s is jealous of your puss y.,0.7675452
Then when you've cum all over my cock I'm going to turn you over and force my cock all the way down your throat and fuck your face. And just before I cum I'm going to pull out and cum all over your face.,0.91625386,Then when you've cum all over my cod I'm going to tum you over and force my cod all the way down your throat and fud your face. And just before I cum I'm going to pull out and cum all over your face.,0.8696708,Then when you've c*m all over my c*ck I'm going to turn you over and force my c*ck all the way down your throat and f**k your face. And just before I c*m I'm going to pull out and c*m all over your face.,0.9209984,Theri vvheri you've curri all over rriy coc1< I'rri goirig to turri you over aricl force rriy coc1< all the vvay clovvri your throat aricl fuc1< your face. Aricl just before I curri I'rri goirig to pull out aricl curri all over your face.,0.64447093,Theη ωheη yομ've (μnn α11 οver nny (ο(l< I'nn gο1ηg το τμrη yομ οver αηcl fοr(e nny (ο(l< α11 τhe ωαy clοωη yομr τhrοατ αηcl fμ(l< yομr fα(e. Αηcl jμsτ βefοre I (μnn I'nn gο1ηg το ρμ11 ομτ αηcl (μnn α11 οver yομr fα(e.,0.44039994,Then when you've cmu all over my cokc I'm going to turn you over and force my cokc all the way down your throat and fukc your face. And just before I cmu I'm going to pull out and cmu all over your face.,0.9209984,Then when you've c all over my c I'm going to turn you over and force my c all the way down your throat and f your face. And just before I c I'm going to pull out and c all over your face.,0.74954444,Then when you've come all over my coke I'm going to turn you over and force my coke all the way down your throat and fack your face. And just before I come I'm going to pull out and come all over your face.,0.8252207,Then when you've cum all over my polla I'm going to turn you over and force my polla all the way down your throat and mierda your face. And just before I cum I'm going to pull out and cum all over your face.,0.91625386,"Then when you've cu,m all over my c,oc,k I'm going to turn you over and force my c,oc,k all the way down your throat and fuc,k your face. And just before I cu,m I'm going to pull out and cu,m all over your face.",0.91625386,Then when you've c um all over my c ock I'm going to turn you over and force my c ock all the way down your throat and fu ck your face. And just before I c um I'm going to pull out and c um all over your face.,0.9209984
Tell me how you like to eat my pussy.,0.91625386,Tell me how you like to eat my pussy.,0.91625386,Tell me how you like to eat my pu**y.,0.8988238,Tell rrie hovv you li1<e to eat rriy pussy.,0.82048255,Te11 nne hοω yομ 11l<e το eατ nny ρμssy.,0.41690505,Tell me how you like to eat my psusy.,0.9029226,Tell me how you like to eat my p.,0.4269174,Tell me how you like to eat my pusy.,0.9061063,Tell me how you like to eat my coño.,0.8988238,"Tell me how you like to eat my p,uss,,y.",0.8629672,Tell me how you like to eat my puss y.,0.88599813
Twisting dildo head like screw in asshole entrance.,0.911035,Twisting dildo head like screw in asshole entrance.,0.911035,Twisting d**do head like screw in a*shole entrance.,0.83334327,Tvvistirig clilclo heacl li1<e screvv iri asshole eritrarice.,0.61223894,Tω1sτ1ηg cl11clο heαcl 11l<e s(reω 1η αsshο1e eητrαη(e.,0.3722269,Twisting didlo heda like screw in sashole entrance.,0.5972042,Twisting d h like screw in ahole entrance.,0.44933176,Twisting dildo head like screw in asehole entrance.,0.78855824,Twisting dildo head like screw in culohole entrance.,0.8540474,"Twisting d,ild,o he,,ad like screw in a,sshole entrance.",0.78711975,Twisting di ldo hea d like screw in as shole entrance.,0.4850187
And feather-lick my asshole. I love that.,0.9061063,And feather-lid my asshole. I love that.,0.85850734,And feather-lick my a*shole. I love that.,0.90451443,Aricl feather-lic1< rriy asshole. I love that.,0.74954444,Αηcl feατher-11(l< nny αsshο1e. I 1οve τhατ.,0.37751234,And feather-lick my sashole. I love that.,0.8252207,And feather-lick my ahole. I love that.,0.6667219,And feather-lick my asehole. I love that.,0.8252207,And feather-lick my culohole. I love that.,0.85333383,"And feather-lick my a,sshole. I love that.",0.88599813,And feather-lick my as shole. I love that.,0.7308154
"Turn over, Ima eat your ass.",0.9061063,"Tum over, Ima eat your ass.",0.85333383,"Turn over, Ima eat your a*s.",0.9029226,"Turri over, Irria eat your ass.",0.8988238,"Tμrη οver, Innα eατ yομr αss.",0.3140926,"Turn over, Ima eat your sas.",0.4645176,"Turn over, Ima eat your a.",0.4574824,"Turn over, Ima eat your ase.",0.743089,"Turn over, Ima eat your culo.",0.89241093,"Turn over, Ima eat your a,ss.",0.911035,"Turn over, Ima eat your as s.",0.8629672
