text,score
I want to fuck you hottie,0.8364697
Please fuck me really hard,0.9029226
Your pussy is really wet,0.8364697
My pussy is tight and can take a lot of pain,0.681338
"Suck my cock, please",0.95048624
"Please I will, I just need you to fuck me",0.8696708
"please, I need your cum",0.6852916
"Please, I will, keep sucking my cock",0.9391453
"I am going to cum, but you can close your eyes and let me cum in your mouth",0.83334327
"Oh my god, I can feel it growing in my pussy",0.85333383
please cum in my mouth,0.88599813
"oh fuck that's big, I love that",0.6308517
"please cum for me, cum for your love",0.78207105
ohhh fuck!,0.72028047
please cum in my mouth,0.88599813
"oh fuck that's fucking hot, so wet",0.85173553
please cum in my mouth,0.88599813
Grab your titties.,0.7761081
Should I pull on my nipples?,0.73663366
"No, wait. Tell me how it feels first. Rubbing your tits.",0.8460273
My tits feel great. Firm. Bouncy. Very sensitive.,0.71760553
I like to graze my fingernails across my breasts.,0.7701451
And then pinch my nipples as hard as I can.,0.85333383
Check if you’re wet. Slide your right index finger into your pussy crack.,0.85333383
Good girl. Now take your middle finger and ease it between your pussy lips.,0.8252207
"I can feel my own pussy heat, so hot on my hand.",0.8364697
"Mmmmm…. my pussy juice is sweet, baby, and there’s so much of it for you.",0.718943
“I’m so fuckin’ hard right now.”,0.7510937
Goddamn I’m so hot this is so hot you are so hot,0.6289369
"Working my way down your collarbone, your breasts.",0.7570315
Licking every inch of your full left tit before taking that perky nipple into my mouth!.,0.9029226
"Gliding my tongue, flicking your slit.",0.8252207
"How’s my pussy, baby?",0.7570315
Tell me how you like to eat my pussy.,0.91625386
Your cunt is like candy! Your thighs soft and supple like bubblegum.,0.82048255
My clit is on fire! Please can I cum?,0.8364697
I think your ass is jealous of your pussy.,0.9209984
"Turn over, Ima eat your ass.",0.9061063
And then I’m gonna fuck it.,0.8460273
"I’m glad you wanna eat my ass too, it’s been awhile.",0.85850734
I am serious about the fucking.,0.82048255
"No, do you have a dildo or a vibrator? I want you to put it up your ass.",0.8629672
Shut up I’m tickling my ass with the fat head. heheh,0.8629672
Twisting dildo head like screw in asshole entrance.,0.911035
I wish I was there to finger your clit and drip warmed lube on your dildo.,0.8540474
And feather-lick my asshole. I love that.,0.9061063
"Push gently baby, open your asshole for my big dick.",0.8696708
Tell me how my hard cock feels in your tight little asshole.,0.8629672
OK IT IS IN! Holy shit I have all 9 inches in my ass for you!,0.89241093
