text,score,CHARACTER_COMBINATION,CHARACTER_COMBINATION_score,CHARACTER_MASKING,CHARACTER_MASKING_score,CHARACTER_SPLITTING,CHARACTER_SPLITTING_score,CHARACTER_SUBSTITUTION,CHARACTER_SUBSTITUTION_score,CHARACTER_SWAPPING,CHARACTER_SWAPPING_score,WORD_ABBREVIATION,WORD_ABBREVIATION_score,WORD_HOMOPHONE_SUB,WORD_HOMOPHONE_SUB_score,WORD_LANG_SWITCH,WORD_LANG_SWITCH_score,WORD_NOISE,WORD_NOISE_score,WORD_SPLITTING,WORD_SPLITTING_score
"""niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags""",0.9749944,"""mggas bitches bitch ass mggas dike ass hoes blad ass and bnght ass hoes fag tags and scally wags""",0.96069145,"""ni**as bit*hes bit*h a*s ni**as dike a*s h*es black a*s and bright a*s h*es fag tags and scally wags""",0.89241093,"""riiggas bitches bitch ass riiggas cli1<e ass hoes blac1< ass aricl bright ass hoes fag tags aricl scally vvags""",0.90451443,"""η1ggαs β1τ(hes β1τ(h αss η1ggαs cl1l<e αss hοes β1α(l< αss αηcl βr1ghτ αss hοes fαg ταgs αηcl s(α11y ωαgs""",0.72028047,"""ngigas bicthes bicth sas ngigas dike sas heos black sas and bright sas heos fag tags and sclaly wags""",0.91625386,"""ns bes b a ns dike a hs black a and bright a hs fag tags and s wags""",0.64447093,"""nigas beaches beach ase nigas dike ase wholes black ase and bright ase wholes fag tags and scally wags""",0.82048255,"""negros perraes perra culo negros dike culo azadas black culo and bright culo azadas fag tags and scally wags""",0.93383175,"""nigg,,as bitc,,hes bitc,,h a,ss nigg,,as dike a,ss h,o,,es black a,ss and bright a,ss h,o,,es fag tags and sc,,al,ly wags""",0.944597,"""nig gas bit ches bit ch as s nig gas dike as s ho es black as s and bright as s ho es fag tags and s cally wags""",0.78711975
"""bitch freak my shit""",0.96426713,"""bitch freak my sHt""",0.944597,"""bit*h freak my sh*t""",0.88599813,"""bitch frea1< rriy shit""",0.8115627,"""β1τ(h freαl< nny sh1τ""",0.39021665,"""bicth freak my shit""",0.96069145,"""b freak my shit""",0.9061063,"""beach freak my shet""",0.54823303,"""perra freak my mierda""",0.90451443,"""bitc,,h freak my shit""",0.9288007,"""bit ch freak my shit""",0.8115627
"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fuck",0.96069145,"""@xoxodauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitch you just ate tacos you fat fud",0.911035,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bit*h you just ate tacos you fat f**k",0.9248995,"""@xoxoclauuclia: YASSSSSS, OR1)ERE1) C1-1INESE &#128079;"" bitch you just ate tacos you fat fuc1<",0.9209984,"""@χοχο(1αμμcl1α: YΑSSSSSS, ORDERED CHINESE &#128079;"" β1τ(h yομ jμsτ ατe τα(οs yομ fατ fμ(l<",0.47886392,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bicth you just ate tacos you fat fukc",0.944597,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" b you just ate tacos you fat f",0.63782936,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" beach you just ate tacos you fat fack",0.85850734,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" perra you just ate tacos you fat mierda",0.8629672,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bitc,,h you just ate tacos you fat fuc,k",0.93383175,"""@xoxoclauudia: YASSSSSS, ORDERED CHINESE &#128079;"" bit ch you just ate tacos you fat fu ck",0.9248995
"""if i wasnt in a work place id deck you"" aye fucking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuck up bitch",0.9563754,"""if i wasnt in a work place id ded you"" aye fuding nght, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fud up bitch",0.8629672,"""if i wasnt in a work place id deck you"" aye f**king right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the f**k up bit*h",0.911035,"""if i vvasrit iri a vvor1< place icl clec1< you"" aye fuc1<irig right, I'cl give you a tysori 4 corribo ricl ericl you vvith ari uppercut. Shut the fuc1< up bitch",0.85333383,"""1f 1 ωαsητ 1η α ωοrl< ρ1α(e 1cl cle(l< yομ"" αye fμ(l<1ηg r1ghτ, I'cl g1ve yομ α τysοη 4 (οnnβο ηcl eηcl yομ ω1τh αη μρρer(μτ. Shμτ τhe fμ(l< μρ β1τ(h",0.50789946,"""if i wasnt in a work place id deck you"" aye fukcing right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fukc up bicth",0.95048624,"""if i wasnt in a work place id deck you"" aye fing right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the f up b",0.5779532,"""if i wasnt in a work place id deck you"" aye facking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fack up beach",0.78711975,"""if i wasnt in a work place id deck you"" aye mierdaing right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the mierda up perra",0.9061063,"""if i wasnt in a work place id deck you"" aye fuc,king right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fuc,k up bitc,,h",0.93383175,"""if i wasnt in a work place id deck you"" aye fu cking right, I'd give you a tyson 4 combo nd end you with an uppercut. Shut the fu ck up bit ch",0.8988238
"""Niggas always yelling ""Fuck bitches, Get money"" meanwhile they're broke and still want the bitches&#8230;.""",0.9563754,"""Niggas always yelling ""Fud bitches, Get money"" meanwHle they're broke and still want the bitches&#8230;.""",0.9248995,"""Niggas always yelling ""Fuck bit*hes, Get money"" meanwhile they're broke and still want the bit*hes&#8230;.""",0.9391453,"""Niggas alvvays yellirig ""Fuc1< bitches, Get rrioriey"" rriearivvhile they're bro1<e aricl still vvarit the bitches&#8230;.""",0.91625386,"""N1ggαs α1ωαys ye111ηg ""Fμ(l< β1τ(hes, Geτ nnοηey"" nneαηωh11e τhey're βrοl<e αηcl sτ111 ωαητ τhe β1τ(hes&#8230;.""",0.718943,"""Niggas always yelling ""Fuck bicthes, Get money"" meanwhile they're broke and still want the bicthes&#8230;.""",0.9563754,"""Niggas always yelling ""Fuck bes, Get money"" meanwhile they're broke and still want the bes&#8230;.""",0.9061063,"""Nigas always yelling ""Fack beaches, Get money"" meanwhile they're broke and still want the beaches&#8230;.""",0.7856813,"""negros always yelling ""mierda perraes, Get money"" meanwhile they're broke and still want the perraes&#8230;.""",0.9029226,"""Niggas always yelling ""Fuck bitc,,hes, Get money"" meanwhile they're broke and still want the bitc,,hes&#8230;.""",0.95048624,"""Niggas always yelling ""Fuck bit ches, Get money"" meanwhile they're broke and still want the bit ches&#8230;.""",0.9061063
"""you fucking pussy you couldn't even beat your dick."" - Angry Youtube Comment",0.9563754,"""you fuding pussy you couldn't even beat your did."" - Angry Youtube Comment",0.85333383,"""you f**king pu**y you couldn't even beat your d*ck."" - Angry Youtube Comment",0.9391453,"""you fuc1<irig pussy you coulclri't everi beat your clic1<."" - Arigry Youtube Corrirrierit",0.8778702,"""yομ fμ(l<1ηg ρμssy yομ (ομ1clη'τ eveη βeατ yομr cl1(l<."" - Αηgry Yομτμβe Cοnnnneητ",0.5885171,"""you fukcing psusy you couldn't even beat your dikc."" - Angry Youtube Comment",0.95048624,"""you fing p you couldn't even beat your d."" - Angry Youtube Comment",0.37751234,"""you facking pusy you couldn't even beat your dik."" - Angry Youtube Comment",0.93383175,"""you mierdaing coño you couldn't even beat your polla."" - Angry Youtube Comment",0.8696708,"""you fuc,king p,uss,,y you couldn't even beat your di,,,ck."" - Angry Youtube Comment",0.95048624,"""you fu cking puss y you couldn't even beat your d ick."" - Angry Youtube Comment",0.944597
"""Fuck 5/0 I make my own rules. Suck my dragon balls bitch call me goku""",0.9563754,"""Fud 5/0 I make my own rules. Sud my dragon balls bitch call me goku""",0.8364697,"""Fuck 5/0 I make my own rules. Suck my dragon balls bit*h call me goku""",0.944597,"""Fuc1< 5/0 I rria1<e rriy ovvri rules. Suc1< rriy clragori balls bitch call rrie go1<u""",0.681338,"""Fμ(l< 5/0 I nnαl<e nny οωη rμ1es. Sμ(l< nny clrαgοη βα11s β1τ(h (α11 nne gοl<μ""",0.36095104,"""Fuck 5/0 I make my own rules. Suck my dragon balls bicth call me goku""",0.9563754,"""Fuck 5/0 I make my own rules. Suck my dragon balls b call me goku""",0.9248995,"""Fack 5/0 I make my own rules. Suck my dragon balls beach call me goku""",0.9029226,"""mierda 5/0 I make my own rules. Suck my dragon balls perra call me goku""",0.8629672,"""Fuck 5/0 I make my own rules. Suck my dragon balls bitc,,h call me goku""",0.9391453,"""Fuck 5/0 I make my own rules. Suck my dragon balls bit ch call me goku""",0.9288007
"""@witmyRUDEass: These newly gay bitches don't kno how shit works""",0.944597,"""@witmyRUDEass: These newly gay bitches don't kno how sHt works""",0.89241093,"""@witmyRUDEa*s: These newly gay bit*hes don't kno how sh*t works""",0.8696708,"""@vvitrriyRU1)Eass: These rievvly gay bitches clori't 1<rio hovv shit vvor1<s""",0.85850734,"""@ω1τnnyRUDEαss: These ηeω1y gαy β1τ(hes clοη'τ l<ηο hοω sh1τ ωοrl<s""",0.45243698,"""@witmyRUDEsas: These newly gay bicthes don't kno how shit works""",0.93383175,"""@witmyRUDEa: These newly gay bes don't kno how shit works""",0.8696708,"""@witmyRUDEase: These newly gay beaches don't kno how shet works""",0.5716857,"""@witmyRUDEculo: These newly gay perraes don't kno how mierda works""",0.85333383,"""@witmyRUDEa,ss: These newly gay bitc,,hes don't kno how shit works""",0.9248995,"""@witmyRUDEas s: These newly gay bit ches don't kno how shit works""",0.8696708
"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you",0.944597,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fud you",0.911035,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bit*h lmao.. Fuk them cowgirls"" lol bit*h f**k you",0.91625386,"""@SacTovvriProcligy: Just because toriy rorrio at the rriavs garrie clorit rrieari he still riot a bitch lrriao.. Fu1< therri covvgirls"" lol bitch fuc1< you",0.8540474,"""@Sα(TοωηPrοcl1gy: Jμsτ βe(αμse τοηy rοnnο ατ τhe nnαvs gαnne clοητ nneαη he sτ111 ηοτ α β1τ(h 1nnαο.. Fμl< τhenn (οωg1r1s"" 1ο1 β1τ(h fμ(l< yομ",0.49139655,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bicth lmao.. Fuk them cowgirls"" lol bicth fukc you",0.93383175,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a b lmao.. Fuk them cowgirls"" lol b f you",0.743089,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a beach lmao.. Fuk them cowgirls"" lol beach fack you",0.85850734,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a perra lmao.. Fuk them cowgirls"" lol perra mierda you",0.8696708,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bitc,,h lmao.. Fuk them cowgirls"" lol bitc,,h fuc,k you",0.9209984,"""@SacTownProdigy: Just because tony romo at the mavs game dont mean he still not a bit ch lmao.. Fuk them cowgirls"" lol bit ch fu ck you",0.8988238
"""I know that shit eatin grin! You either just fucked the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;",0.944597,"""I know that sHt eatin gnn! You either just fuded the girl of your dreams or you sold a car. We know you're a faggot. What'd you sell?""&#128514;",0.8540474,"""I know that sh*t eatin grin! You either just f**ked the girl of your dreams or you sold a car. We know you're a fa**ot. What'd you sell?""&#128514;",0.9061063,"""I 1<riovv that shit eatiri griri! You either just fuc1<ecl the girl of your clrearris or you solcl a car. VVe 1<riovv you're a faggot. VVhat'cl you sell?""&#128514;",0.9029226,"""I l<ηοω τhατ sh1τ eατ1η gr1η! Yομ e1τher jμsτ fμ(l<ecl τhe g1r1 οf yομr clreαnns οr yομ sο1cl α (αr. We l<ηοω yομ're α fαggοτ. Whατ'cl yομ se11?""&#128514;",0.6667219,"""I know that shit eatin grin! You either just fukced the girl of your dreams or you sold a car. We know you're a fagogt. What'd you sell?""&#128514;",0.944597,"""I know that shit eatin grin! You either just fed the girl of your dreams or you sold a car. We know you're a f. What'd you sell?""&#128514;",0.85333383,"""I know that shet eatin grin! You either just facked the girl of your dreams or you sold a car. We know you're a fagot. What'd you sell?""&#128514;",0.85333383,"""I know that mierda eatin grin! You either just mierdaed the girl of your dreams or you sold a car. We know you're a maricon. What'd you sell?""&#128514;",0.911035,"""I know that shit eatin grin! You either just fuc,ked the girl of your dreams or you sold a car. We know you're a f,aggot. What'd you sell?""&#128514;",0.93383175,"""I know that shit eatin grin! You either just fu cked the girl of your dreams or you sold a car. We know you're a fa ggot. What'd you sell?""&#128514;",0.9288007
