class,tweet,CHARACTER_COMBINATION,CHARACTER_MASKING,CHARACTER_SPLITTING,CHARACTER_SUBSTITUTION,CHARACTER_SWAPPING,WORD_ABBREVIATION,WORD_HOMOPHONE_SUB,WORD_LANG_SWITCH,WORD_NOISE,WORD_SPLITTING
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free eritry iri 2 a vv1<ly corrip to vviri FA Cup firial t1<ts 21st May 2005. Text FA to 87121 to receive eritry questiori(stcl txt rate)T&C's apply 08452810075over18's,Free eητry 1η 2 α ωl<1y (οnnρ το ω1η FΑ Cμρ f1ηα1 τl<τs 21sτ Mαy 2005. Teχτ FΑ το 87121 το re(e1ve eητry qμesτ1οη(sτcl τχτ rατe)T&C's αρρ1y 08452810075οver18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word bad! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg 1-1ey there clarlirig it's beeri 3 vvee1<'s riovv aricl rio vvorcl bac1<! I'cl li1<e sorrie furi you up for it still? Tb o1<! XxX stcl chgs to sericl, å£1.50 to rcv","FreeMsg Hey τhere clαr11ηg 1τ's βeeη 3 ωeel<'s ηοω αηcl ηο ωοrcl βα(l<! I'cl 11l<e sοnne fμη yομ μρ fοr 1τ sτ111? Tβ οl<! XχX sτcl (hgs το seηcl, å£1.50 το r(v","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv","FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv"
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 pnze reward! To daim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,VVINNER!! As a valuecl rietvvor1< custorrier you have beeri selectecl to receivea å£900 pri7_e revvarcl! To clairri call 09061701461. Clairri cocle 1<1_341. Valicl 12 hours orily.,WINNER!! Αs α vα1μecl ηeτωοrl< (μsτοnner yομ hαve βeeη se1e(τecl το re(e1veα å£900 ρr12e reωαrcl! Tο (1α1nn (α11 09061701461. C1α1nn (οcle KL341. Vα11cl 12 hομrs οη1y.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R ent*tled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1-1acl your rriobile 11 rrioriths or rriore? U R erititlecl to Upclate to the latest colour rriobiles vvith carriera for Free! Call The Mobile Upclate Co FREE ori 08002986030,Hαcl yομr nnοβ11e 11 nnοητhs οr nnοre? U R eητ1τ1ecl το Uρclατe το τhe 1ατesτ (ο1ομr nnοβ11es ω1τh (αnnerα fοr Free! Cα11 The Mοβ11e Uρclατe Cο FREE οη 08002986030,Had your mobile 11 months or more? U R enttiled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R entytled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,Had your mobile 11 months or more? U R enmamaled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,"Had your mobile 11 months or more? U R ent,i,,tled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030",Had your mobile 11 months or more? U R enti tled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX charices to vviri CAS1-1! Frorri 100 to 20,000 pouricls txt> CS1-111 aricl sericl to 87575. Cost 150p/clay, 6clays, 16+ TsariclCs apply Reply 1-11_ 4 irifo","SIX (hαη(es το ω1η CΑSH! Frοnn 100 το 20,000 ρομηcls τχτ> CSH11 αηcl seηcl το 87575. Cοsτ 150ρ/clαy, 6clαys, 16+ TsαηclCs αρρ1y Reρ1y HL 4 1ηfο","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membersHp in our å£100,000 Pnze Jadpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have vvori a 1 vvee1< FREE rrierribership iri our å£100,000 Pri7_e Jac1<pot! Txt the vvorcl: C1_AIM to No: 81010 T&C vvvvvv.clbu1<.riet 1_CC1_T1) PO13OX 44031_1)NVV1A7RVV18","URGENT! Yομ hαve ωοη α 1 ωeel< FREE nnennβersh1ρ 1η ομr å£100,000 Pr12e Jα(l<ροτ! Tχτ τhe ωοrcl: CLΑIM το Nο: 81010 T&C ωωω.clβμl<.ηeτ LCCLTD POBOX 4403LDNW1Α7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, did the WAP link in the next txt message or did here>> http://wap. xxxmobilemoviedub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your creclit, clic1< the VVAP liri1< iri the riext txt rriessage or clic1< here>> http://vvap. xxxrriobilerriovieclub.corri?ri=QJ1<GIG1-1JJGC131_","XXXMοβ11eMοv1eC1μβ: Tο μse yομr (recl1τ, (11(l< τhe WΑP 11ηl< 1η τhe ηeχτ τχτ nnessαge οr (11(l< here>> hττρ://ωαρ. χχχnnοβ11ennοv1e(1μβ.(οnn?η=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedoma - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","Eriglaricl v Macecloriia - clorit rriiss the goals/tearri rievvs. Txt ur riatiorial tearri to 87077 eg ENG1_AN1) to 87077 Try:VVA1_ES, SCOT1_AN1) 4txt/Ì¼1.20 PO13OXox36504VV45VVQ 16+","Eηg1αηcl v Mα(eclοη1α - clοητ nn1ss τhe gοα1s/τeαnn ηeωs. Tχτ μr ηατ1οηα1 τeαnn το 87077 eg ENGLΑND το 87077 Try:WΑLES, SCOTLΑND 4τχτ/Ì¼1.20 POBOXοχ36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscnption to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thari1<s for your subscriptiori to Ririgtorie U1< your rriobile vvill be chargecl å£5/rriorith Please corifirrri by replyirig YES or NO. If you reply NO you vvill riot be chargecl,Thαηl<s fοr yομr sμβs(r1ρτ1οη το R1ηgτοηe UK yομr nnοβ11e ω111 βe (hαrgecl å£5/nnοητh P1eαse (οηf1rnn βy reρ1y1ηg YES οr NO. If yομ reρ1y NO yομ ω111 ηοτ βe (hαrgecl,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Bums - MSG = We tned to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Roclger 13urris - MSG = VVe triecl to call you re your reply to our srris for a free rio1<ia rriobile + free carricorcler. Please call riovv 08000930705 for clelivery torriorrovv,07732584351 - Rοclger Bμrηs - MSG = We τr1ecl το (α11 yομ re yομr reρ1y το ομr snns fοr α free ηοl<1α nnοβ11e + free (αnn(οrcler. P1eαse (α11 ηοω 08000930705 fοr cle11very τοnnοrrοω,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
