nigga:nig ga
bitch:bit ch
tranny:t ranny
fuck:fu ck
hoe:ho e
hate:ha te
dick:d ick
suck:su ck
pussy:puss y
murder:mur der
nigga:nigg a
porn:p orn
anal:an al
ass:as s
sex:s ex
molly:mo lly
booty:b ooty
vagina:vagi na
nigger:nig ger
stripper:stri pper
trash:tr ash
racist:r acist
stfo:st fo
head:hea d
monkey:monk ey
faggot:fa ggot
scally:s cally
fucc:fu cc
nigs:n igs
retard:r etard
butt:bu tt
kink:ki nk
virgin:v irgin
cracker:crack er
cum:c um
pant:pan t
thong:t hong
tit:ti t
breast:bre ast
nipple:ni pple
clit:c lit
dildo:di ldo
asshole:as shole
naked:na ked
cock:c ock
penis:pen is
cunt:cu nt
