text,score
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0.8988238
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0.6027529
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya &#57361;,0.9288007
"!!!!!!!!!!!!!!!!!!""@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;""",0.9391453
"!!!!!!""@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!""",0.9288007
!!!!&#8220;@selfiequeenbri: cause I'm tired of you big bitches coming for us skinny girls!!&#8221;,0.8252207
""" &amp; you might not get ya bitch back &amp; thats that """,0.85173553
""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh",0.78855824
""" bad bitches is the only thing that i like """,0.8252207
""" bitch get up off me """,0.9248995
""" bitch nigga miss me with it """,0.91625386
""" bitch plz whatever """,0.89241093
""" bitch who do you love """,0.8540474
""" bitches get cut off everyday B """,0.83334327
""" black bottle &amp; a bad bitch """,0.911035
""" broke bitch cant tell me nothing """,0.88599813
""" cancel that bitch like Nino """,0.89241093
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0.9209984
""" her pussy lips like Heaven doors "" &#128524;",0.73663366
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0.85173553
""" i need a trippy bitch who fuck on Hennessy """,0.9209984
""" i spend my money how i want bitch its my business """,0.8403191
""" i txt my old bitch my new bitch pussy wetter """,0.93383175
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0.78207105
""" if you aint bout that Murder Game pussy nigga shut up """,0.9209984
""" if you're toes ain't done you pussy stinks """,0.88599813
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0.74954444
""" is that ya bitch """,0.911035
""" it aint nothing to cut a bitch off """,0.7675452
""" jus meet son now he ya mane ass bitches "" #Shots",0.7856813
""" post a picture of that pussy get 200 likes """,0.7761081
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",0.65996873
""" quick piece of pussy call it a drive by """,0.88599813
""" running round here like some brand new pussy thats bout to get fucked """,0.911035
""" these bitches even worst they'll send them guys for you """,0.85850734
""" these hoes like niggas that spend money not talk bout it """,0.85173553
""" we dont trust these niggas all these bitches """,0.93383175
""" yall niggas b cuffing hoes cause yall aint never have bitches """,0.91625386
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0.7701451
""" young Pill Chamberlain these bitches love my music """,0.7675452
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",0.9209984
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",0.76523775
"""&amp; he's gone always be a hoe""",0.65996873
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0.88599813
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",0.85173553
"""@A7XDemery: I'm a fucking fag they said""",0.90451443
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",0.7510937
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0.78711975
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",0.7510937
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",0.7510937
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",0.9029226
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",0.78855824
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",0.6852916
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",0.8778702
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",0.78855824
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",0.7510937
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",0.9209984
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",0.6611249
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0.72028047
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",0.7510937
"""@CASHandBOOBIES: I been kidnapped yo bitch""",0.7510937
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",0.6426206
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",0.60152835
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",0.89241093
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",0.7856813
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",0.8988238
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",0.8252207
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",0.8696708
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",0.8403191
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",0.911035
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",0.76523775
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",0.62702215
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0.8696708
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",0.681338
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",0.9029226
"""@Dietrich1892: Yall shut up:p"" make me bitch",0.6407703
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",0.85333383
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",0.6744087
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",0.8988238
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",0.8403191
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",0.78207105
