class,tweet,CHARACTER_COMBINATION,CHARACTER_MASKING,CHARACTER_SPLITTING,CHARACTER_SUBSTITUTION,CHARACTER_SWAPPING,WORD_ABBREVIATION,WORD_HOMOPHONE_SUB,WORD_LANG_SWITCH,WORD_NOISE,WORD_SPLITTING
0,I want to fuck you hottie,I want to fud you hottie,I want to f**k you hottie,I vvarit to fuc1< you hottie,I ωαητ το fμ(l< yομ hοττ1e,I want to fukc you hottie,I want to f you hottie,I want to fack you hottie,I want to mierda you hottie,"I want to fuc,k you hottie",I want to fu ck you hottie
0,Please fuck me really hard,Please fud me really hard,Please f**k me really hard,Please fuc1< rrie really harcl,P1eαse fμ(l< nne reα11y hαrcl,Please fukc me really hard,Please f me really hard,Please fack me really hard,Please mierda me really hard,"Please fuc,k me really hard",Please fu ck me really hard
0,Your pussy is really wet,Your pussy is really wet,Your pu**y is really wet,Your pussy is really vvet,Yομr ρμssy 1s reα11y ωeτ,Your psusy is really wet,Your p is really wet,Your pusy is really wet,Your coño is really wet,"Your p,uss,,y is really wet",Your puss y is really wet
0,My pussy is tight and can take a lot of pain,My pussy is tight and can take a lot of pain,My pu**y is tight and can take a lot of pain,My pussy is tight aricl cari ta1<e a lot of pairi,My ρμssy 1s τ1ghτ αηcl (αη ταl<e α 1οτ οf ρα1η,My psusy is tight and can take a lot of pain,My p is tight and can take a lot of pain,My pusy is tight and can take a lot of pain,My coño is tight and can take a lot of pain,"My p,uss,,y is tight and can take a lot of pain",My puss y is tight and can take a lot of pain
0,"Suck my cock, please","Sud my cod, please","Suck my c*ck, please","Suc1< rriy coc1<, please","Sμ(l< nny (ο(l<, ρ1eαse","Suck my cokc, please","Suck my c, please","Suck my coke, please","Suck my polla, please","Suck my c,oc,k, please","Suck my c ock, please"
0,"Please I will, I just need you to fuck me","Please I will, I just need you to fud me","Please I will, I just need you to f**k me","Please I vvill, I just rieecl you to fuc1< rrie","P1eαse I ω111, I jμsτ ηeecl yομ το fμ(l< nne","Please I will, I just need you to fukc me","Please I will, I just need you to f me","Please I will, I just need you to fack me","Please I will, I just need you to mierda me","Please I will, I just need you to fuc,k me","Please I will, I just need you to fu ck me"
0,"please, I need your cum","please, I need your cum","please, I need your c*m","please, I rieecl your curri","ρ1eαse, I ηeecl yομr (μnn","please, I need your cmu","please, I need your c","please, I need your come","please, I need your cum","please, I need your cu,m","please, I need your c um"
0,"Please, I will, keep sucking my cock","Please, I will, keep suding my cod","Please, I will, keep s*cking my c*ck","Please, I vvill, 1<eep suc1<irig rriy coc1<","P1eαse, I ω111, l<eeρ sμ(l<1ηg nny (ο(l<","Please, I will, keep sukcing my cokc","Please, I will, keep sing my c","Please, I will, keep sucking my coke","Please, I will, keep sucking my polla","Please, I will, keep su,,cking my c,oc,k","Please, I will, keep su cking my c ock"
0,"I am going to cum, but you can close your eyes and let me cum in your mouth","I am going to cum, but you can dose your eyes and let me cum in your mouth","I am going to c*m, but you can close your eyes and let me c*m in your mouth","I arri goirig to curri, but you cari close your eyes aricl let rrie curri iri your rriouth","I αnn gο1ηg το (μnn, βμτ yομ (αη (1οse yομr eyes αηcl 1eτ nne (μnn 1η yομr nnομτh","I am going to cmu, but you can close your eyes and let me cmu in your mouth","I am going to c, but you can close your eyes and let me c in your mouth","I am going to come, but you can close your eyes and let me come in your mouth","I am going to cum, but you can close your eyes and let me cum in your mouth","I am going to cu,m, but you can close your eyes and let me cu,m in your mouth","I am going to c um, but you can close your eyes and let me c um in your mouth"
0,"Oh my god, I can feel it growing in my pussy","Oh my god, I can feel it growing in my pussy","Oh my god, I can feel it growing in my pu**y","Oh rriy gocl, I cari feel it grovvirig iri rriy pussy","Oh nny gοcl, I (αη fee1 1τ grοω1ηg 1η nny ρμssy","Oh my god, I can feel it growing in my psusy","Oh my god, I can feel it growing in my p","Oh my god, I can feel it growing in my pusy","Oh my god, I can feel it growing in my coño","Oh my god, I can feel it growing in my p,uss,,y","Oh my god, I can feel it growing in my puss y"
0,please cum in my mouth,please cum in my mouth,please c*m in my mouth,please curri iri rriy rriouth,ρ1eαse (μnn 1η nny nnομτh,please cmu in my mouth,please c in my mouth,please come in my mouth,please cum in my mouth,"please cu,m in my mouth",please c um in my mouth
